OBJECTID,CD_ACID,ANO,DATA_ACID,DIA_ACID,HORA_ACID,CD_MES_ACI,MES_ACID,CD_DIA_SEM,DIA_SEMANA,CD_END_OCO,END_OCOR,NUM_KM_END,CD_ESQ,ESQUINA,PROXIMO,BAIRRO_OCO,CD_BAIRRO_,BAIRRO_GEO,CD_REGIONA,REGIONAL,MUNICIPIO,NUM_VIT_FA,TP_ACIDENT,TP_ESPECIE,TP_OUTRO_V,CS_VELOCID,CS_ALCOOL,CS_INFRAES,CS_TRANS_L,CS_TRANS_1,CS_DESREP_,FONTE,OBS_ACID,GEORREF,COORD_N_SA,COORD_E_SA,LAT_SIRGAS,LON_SIRGAS
32,201020058.0,2010,2010-04-04,2010-04-04,,4,ABRIL,1,DOMINGO,C444,BR 476,"121,0",,,,ATUBA,55,ATUBA,4,REGIONAL BOA VISTA,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7192068.84301758,681540.14001465,-25.37746746,-49.19609992
33,201020059.0,2010,2010-04-04,2010-04-04,,4,ABRIL,1,DOMINGO,C888,BR 116,117,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,MOTOCICLETA,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7172089.72821,670128.04602,-25.559157,-49.30696556
36,201020065.0,2010,2010-04-22,2010-04-22,,4,ABRIL,5,QUINTA-FEIRA,C888,BR 116,120,,,,,71,CAMPO DE SANTANA,12,REGIONAL TATUQUARA,CURITIBA,1,QUEDA,MOTOCICLETA,NÃO SE APLICA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7169138.22522,669354.90961,-25.58588744,-49.31428596
37,201020067.0,2010,2010-04-20,2010-04-20,,4,ABRIL,3,TERÇA-FEIRA,C888,BR 116,116,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,MOTOCICLETA,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7172847.52423,670316.19702,-25.55229513,-49.30518952
38,201020076.0,2010,2010-01-29,2010-01-29,,1,JANEIRO,6,SEXTA-FEIRA,C333,BR 476,"145,0",,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,COLISÃO,AUTOMÓVEL,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7173369.8616333,668701.83843994,-25.54776533,-49.32131887
40,201020093.0,2010,2010-05-02,2010-05-02,,5,MAIO,1,DOMINGO,C888A,BR 476,140,,,,FAZENDINHA,66,PINHEIRINHO,8,REGIONAL PINHEIRINHO,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7175981.12244,671278.59259,-25.52389876,-49.29601318
42,201020102.0,2010,2010-05-27,2010-05-27,,5,MAIO,5,QUINTA-FEIRA,C888A,BR 476,124,,,,ATUBA,55,ATUBA,4,REGIONAL BOA VISTA,CURITIBA,1,COLISÃO,MOTOCICLETA,VEÍCULO PESADO OU ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7190356.90784,680161.97583,-25.39308699,-49.20956478
43,201020105.0,2010,2010-05-09,2010-05-09,,5,MAIO,1,DOMINGO,C888,BR 116,118,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,SIM,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7171109.48322,669806.54724,-25.56804212,-49.31004062
44,201020109.0,2010,2010-05-28,2010-05-28,,5,MAIO,6,SEXTA-FEIRA,C333,BR 476,"146,0",,,,,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,COLISÃO,BICICLETA,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7172999.67584229,667784.63220215,-25.55121119,-49.33039893
46,201020112.0,2010,2010-05-01,2010-05-01,,5,MAIO,7,SÁBADO,C666,BR 277,"97,0",,,,SÃO BRAZ,46,SANTO INÁCIO,5,REGIONAL SANTA FELICIDADE,CURITIBA,1,CHOQUE,AUTOMÓVEL,NÃO SE APLICA,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7186390.65478516,666977.15301514,-25.43042647,-49.34009553
47,201020119.0,2010,2010-06-10,2010-06-10,,6,JUNHO,5,QUINTA-FEIRA,C777,BR 277,"82,0",,,,CAJURU,21,CAJURU,3,REGIONAL CAJURU,CURITIBA,1,COLISÃO,AUTOMÓVEL,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7183306.45703125,678720.48223877,-25.45689959,-49.22295555
48,201020125.0,2010,2010-06-14,2010-06-14,,6,JUNHO,2,SEGUNDA-FEIRA,C888A,BR 476,132,,,,PAROLIN,24,PRADO VELHO,1,REGIONAL MATRIZ,CURITIBA,1,COLISÃO,MOTOCICLETA,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7182853.45483,675933.49323,-25.46132138,-49.25060532
50,201020140.0,2010,2010-07-30,2010-07-30,,7,JULHO,6,SEXTA-FEIRA,C888,BR 116,115,,,,,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,COLISÃO,AUTOMÓVEL,VEÍCULO PESADO OU ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7173729.63562,670516.99799,-25.54430965,-49.30330359
51,201020146.0,2010,2010-09-27,2010-09-27,,9,SETEMBRO,2,SEGUNDA-FEIRA,C888A,BR 476,134,,,,,38,HAUER,2,REGIONAL BOQUEIRÃO,CURITIBA,1,COLISÃO,CAMINHONETE,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7180439.45782471,674414.48602295,-25.48329024,-49.26539575
52,201020148.0,2010,,,,0,,0,,C666,BR 277,,,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,COLISÃO,MOTOCICLETA,VEÍCULO PESADO OU ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,LOCALIZAÇÃO APROXIMADA,7186270.89343262,663391.54559326,-25.43190598,-49.37572445
53,201020149.0,2010,2010-09-23,2010-09-23,,9,SETEMBRO,5,QUINTA-FEIRA,C111,BR 116,"113,0",,,,SÍTIO CERCADO,73,UMBARÁ,10,REGIONAL BAIRRO NOVO,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7173119.51641846,672515.26403809,-25.54958506,-49.28334297
55,201020154.0,2010,2010-09-18,2010-09-18,,9,SETEMBRO,7,SÁBADO,C888,BR 116,117,,,,,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,MOTOCICLETA,VEÍCULO PESADO OU ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7172089.72821,670128.04602,-25.559157,-49.30696556
56,201020157.0,2010,2010-09-17,2010-09-17,,9,SETEMBRO,6,SEXTA-FEIRA,C888,BR 116,118,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,MOTOCICLETA,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7171109.48322,669806.54724,-25.56804212,-49.31004062
59,201020171.0,2010,2010-07-01,2010-07-01,,7,JULHO,5,QUINTA-FEIRA,C666,BR 277,,,,CONTORNO NORTE,SANTA FELICIDADE,59,ORLEANS,5,REGIONAL SANTA FELICIDADE,CURITIBA,1,ATROPELAMENTO,A PÉ,MOTOCICLETA,,SIM,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,LOCALIZAÇÃO APROXIMADA,7186251.73419,664419.4198,-25.43196559,-49.36550417
60,201020172.0,2010,2010-07-02,2010-07-02,,7,JULHO,6,SEXTA-FEIRA,C555,BR 376,"591,0",,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,COLISÃO,MOTOCICLETA,AUTOMÓVEL,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7182472.24639893,665272.40759277,-25.46598773,-49.35656157
62,201020178.0,2010,2010-07-09,2010-07-09,,7,JULHO,6,SEXTA-FEIRA,C888A,BR 476,,,,PROX COL MEDIANEIRA,PRADO VELHO,24,PRADO VELHO,1,REGIONAL MATRIZ,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7183640.9498291,676365.06878662,-25.45416202,-49.24641735
63,201020180.0,2010,2010-07-11,2010-07-11,,7,JULHO,1,DOMINGO,C888,BR 116,166,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,BICICLETA,TREM,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7171294.89642334,669862.63378906,-25.56636204,-49.30950596
64,201020183.0,2010,2010-06-18,2010-06-18,,6,JUNHO,6,SEXTA-FEIRA,C888A,BR 476,140,,,,PINHEIRINHO,66,PINHEIRINHO,8,REGIONAL PINHEIRINHO,CURITIBA,1,QUEDA,MOTOCICLETA,NÃO SE APLICA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,ocorrência com dois acidentes,,7175981.12244,671278.59259,-25.52389876,-49.29601318
66,201020189.0,2010,2010-06-20,2010-06-20,,6,JUNHO,1,DOMINGO,C555,BR 376,"595,0",,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178611.80639649,666693.69061279,-25.50067584,-49.34195092
67,201020192.0,2010,2010-07-18,2010-07-18,,7,JULHO,1,DOMINGO,C555,BR 376,"559,0",,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7175182.71038818,668505.72259522,-25.53142392,-49.32349787
68,201020198.0,2010,2010-07-23,2010-07-23,,7,JULHO,6,SEXTA-FEIRA,C888,BR 116,117,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,MOTOCICLETA,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7172089.72821,670128.04602,-25.559157,-49.30696556
70,201020228.0,2010,2010-09-04,2010-09-04,,9,SETEMBRO,7,SÁBADO,C888A,BR 476,121,,,,JARDIM BOTÂNICO,7,JARDIM BOTÂNICO,1,REGIONAL MATRIZ,CURITIBA,1,CHOQUE,MOTOCICLETA,NÃO SE APLICA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7184850.07562,677661.02301,-25.44309368,-49.23369226
72,201020235.0,2010,2010-10-08,2010-10-08,,10,OUTUBRO,6,SEXTA-FEIRA,C888,BR 116,115,,,,PINHEIRINHO,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,ATROPELAMENTO,A PÉ,IGNORADO,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7173729.63562,670516.99799,-25.54430965,-49.30330359
73,201020236.0,2010,2010-10-08,2010-10-08,,10,OUTUBRO,6,SEXTA-FEIRA,C888,BR 116,118,,,,TATUQUARA,74,TATUQUARA,12,REGIONAL TATUQUARA,CURITIBA,1,COLISÃO,AUTOMÓVEL,AUTOMÓVEL,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7171109.48322,669806.54724,-25.56804212,-49.31004062
74,201020237.0,2010,,,,0,,0,,C888,BR 116,,,,,,0,-,0,-,CURITIBA,1,ATROPELAMENTO,A PÉ,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,LOCALIZAÇÃO INDEFINIDA,7171459.57501221,669911.61358643,-25.56486995,-49.30903941
75,201020240.0,2010,2010-10-13,2010-10-13,,10,OUTUBRO,4,QUARTA-FEIRA,C555,BR 376,"596,0",,,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7177680.16021729,666909.68719482,-25.50906119,-49.33968688
78,201020074.0,2010,2010-04-25,2010-04-25,,4,ABRIL,1,DOMINGO,S638B,R. JOSÉ HAUER,376,S755,R. PEDRO PACHECO,,UBERABA,37,UBERABA,3,REGIONAL CAJURU,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178728.60083008,679135.34063721,-25.49816991,-49.21822195
80,201020215.0,2010,2010-08-25,2010-08-25,,8,AGOSTO,4,QUARTA-FEIRA,S527,R. FRANCISCO DEROSSO,,S576B,R. PROF. LEONEL MORO,,XAXIM,57,XAXIM,2,REGIONAL BOQUEIRÃO,CURITIBA,1,COLISÃO,MOTOCICLETA,CAMINHÃO,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178490.19799805,674283.55639648,-25.50090032,-49.26644529
77,201020244.0,2010,,,,0,,0,,C888,BR 116,,,,,,0,-,0,-,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,LOCALIZAÇÃO INDEFINIDA,7171459.57501221,669911.61358643,-25.56486995,-49.30903941
81,201020089.0,2010,2010-05-15,2010-05-15,,5,MAIO,7,SÁBADO,N050,R. ALBERTO FOLLONI,,N049,R. RICARDO LEMOS,,AHÚ,14,AHÚ,1,REGIONAL MATRIZ,CURITIBA,1,ACIDENTE COMPLEXO,MOTOCICLETA,CAMINHONETE,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7188812.16320801,674641.61480713,-25.40768825,-49.26422116
82,201020090.0,2010,2010-05-05,2010-05-05,,5,MAIO,4,QUARTA-FEIRA,S612A,R. DR. JÚLIO CÉSAR RIBEIRO DE SOUZA,,N060,R. BELÉM,,HAUER,38,HAUER,2,REGIONAL BOQUEIRÃO,CURITIBA,1,ATROPELAMENTO,A PÉ,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7181074.83343506,676804.89160156,-25.47727214,-49.24170788
83,201020225.0,2010,2010-09-01,2010-09-01,,9,SETEMBRO,4,QUARTA-FEIRA,W836,R. EDUARDO SPRADA,,W858J,R. ROBERT REDZIMSKI,,CIDADE INDUSTRIAL DE CURITIBA,75,CIDADE INDUSTRIAL DE CURITIBA,11,REGIONAL CIC,CURITIBA,1,ABALROAMENTO TRANSVERSAL,MOTOCICLETA,VEÍCULO PESADO OU ÔNIBUS,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7184199.91540527,665527.14202881,-25.45036403,-49.35424077
85,201020061.0,2010,2010-04-20,2010-04-20,,4,ABRIL,3,TERÇA-FEIRA,S756,R. RODOLFO BERNARDELLI,407,S725,R. SALOMÃO ELIAS FEDER,,UBERABA,37,UBERABA,3,REGIONAL CAJURU,CURITIBA,1,COLISÃO TRASEIRA,MOTOCICLETA,AUTOMÓVEL,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7179581.08898926,678123.93499756,-25.49059713,-49.22839381
86,201020044.0,2010,2010-04-04,2010-04-04,,4,ABRIL,1,DOMINGO,S609,R. PAULO SETUBAL,,S632,R. SALVADOR FERRANTE,,BOQUEIRÃO,56,BOQUEIRÃO,2,REGIONAL BOQUEIRÃO,CURITIBA,1,ACIDENTE COMPLEXO,MOTOCICLETA,AUTOMÓVEL,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178373.58398438,675942.8079834,-25.50175683,-49.24992721
87,201020273.0,2010,2010-11-06,2010-11-06,,11,NOVEMBRO,7,SÁBADO,S475,R. OURIZONA,,S446,R. SÃO JOSÉ DOS PINHAIS,,SÍTIO CERCADO,65,SÍTIO CERCADO,10,REGIONAL BAIRRO NOVO,CURITIBA,1,ATROPELAMENTO,A PÉ,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7173744.39422608,674747.10998535,-25.54368268,-49.26121743
89,201020115.0,2010,2010-06-05,2010-06-05,,6,JUNHO,7,SÁBADO,S480A,R. GUAÇUÍ,,S442L,R. TIJUCAS DO SUL,,SÍTIO CERCADO,65,SÍTIO CERCADO,10,REGIONAL BAIRRO NOVO,CURITIBA,1,ABALROAMENTO LATERAL,BICICLETA,AUTOMÓVEL,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7172972.1484375,675334.22399902,-25.55058366,-49.25527502
91,201020243.0,2010,2010-10-15,2010-10-15,,10,OUTUBRO,6,SEXTA-FEIRA,C002,AV. VISC. DE GUARAPUAVA,3581,S016,R. LAMENHA LINS,,CENTRO,1,CENTRO,1,REGIONAL MATRIZ,CURITIBA,1,ABALROAMENTO TRANSVERSAL,MOTOCICLETA,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7185294.02203369,673434.8760376,-25.43958578,-49.27576231
92,201020020.0,2010,2010-01-24,2010-01-24,,1,JANEIRO,1,DOMINGO,S460,R. PINHALÃO,,S471,R. LUPIONÓPOLIS,,SÍTIO CERCADO,65,SÍTIO CERCADO,10,REGIONAL BAIRRO NOVO,CURITIBA,1,ATROPELAMENTO,A PÉ,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7173025.40020752,673268.20019531,-25.55034655,-49.27583904
93,201020123.0,2010,,,,0,,0,,W653E,R. JAIR SILVEIRA,,W672I,R. MANOEL LOPES HAYGERT,,,67,SÃO MIGUEL,11,REGIONAL CIC,CURITIBA,1,CHOQUE,AUTOMÓVEL,NÃO SE APLICA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7178629.66381836,665679.03118897,-25.50062844,-49.35204532
1,201020299.0,2010,,,,0,,0,,C025,R. CONS. LAURINDO,,C010,R. MAL. DEODORO,,CENTRO,1,CENTRO,1,REGIONAL MATRIZ,CURITIBA,1,ATROPELAMENTO,A PÉ,VEÍCULO PESADO OU ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7186389.3381958,674514.37438965,-25.42957262,-49.26517268
2,201020311.0,2010,2010-05-19,2010-05-19,,5,MAIO,4,QUARTA-FEIRA,N070,AV. ANITA GARIBALDI,,N391,R. MARIA MOREIRA FROTTE,,CACHOEIRA,51,CACHOEIRA,4,REGIONAL BOA VISTA,CURITIBA,1,CHOQUE,BICICLETA,NÃO SE APLICA,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7195121.21258545,674636.96600342,-25.35074034,-49.26508135
4,201020121.0,2010,2010-06-13,2010-06-13,,6,JUNHO,1,DOMINGO,S426A,R. PE. RAFAEL JOSÉ KALINOWSKI,,S413K,R. NEUSA DE FÁTIMA FERREIRA,,PINHEIRINHO,66,PINHEIRINHO,8,REGIONAL PINHEIRINHO,CURITIBA,1,CHOQUE,AUTOMÓVEL,NÃO SE APLICA,,NÃO,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7175658.9128418,673206.46502686,-25.52658282,-49.27679317
5,201020260.0,2010,2010-10-26,2010-10-26,,10,OUTUBRO,3,TERÇA-FEIRA,S561T,R. DAVID TOWS,,S473,R. NOVA AURORA,,XAXIM,65,SÍTIO CERCADO,10,REGIONAL BAIRRO NOVO,CURITIBA,1,COLISÃO,BICICLETA,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7174469.29699707,675268.74420166,-25.53707782,-49.25612211
8,201020181.0,2010,2010-06-17,2010-06-17,,6,JUNHO,5,QUINTA-FEIRA,S956,AV. JORN. ADERBAL GAERTNER STRESSER,,S953C,R. DR. OTHON ACCIOLY RODRIGUES DA COSTA,,CAJURU,21,CAJURU,3,REGIONAL CAJURU,CURITIBA,1,QUEDA,MOTOCICLETA,NÃO SE APLICA,,SIM,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7181572.22521973,680146.34399414,-25.47238062,-49.20854763
10,201020179.0,2010,2010-07-10,2010-07-10,,7,JULHO,7,SÁBADO,C002,AV. VISC. DE GUARAPUAVA,,C021N,TRAV. DA LAPA,,,1,CENTRO,1,REGIONAL MATRIZ,CURITIBA,1,ABALROAMENTO TRANSVERSAL,AUTOMÓVEL,ÔNIBUS,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7185731.87463379,674483.00262451,-25.43551084,-49.26539953
11,201020001.0,2010,2010-01-07,2010-01-07,,1,JANEIRO,5,QUINTA-FEIRA,C025,R. CONS. LAURINDO,,C002,AV. VISC. DE GUARAPUAVA,,CENTRO,1,CENTRO,1,REGIONAL MATRIZ,CURITIBA,1,ATROPELAMENTO,A PÉ,MOTOCICLETA,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7185834.12158203,674724.66918945,-25.43455953,-49.26301046
12,201020002.0,2010,,,,0,,0,,E294N,R. ARNALDO BAPTISTA DE CASTRO,394,,,,ATUBA,55,ATUBA,4,REGIONAL BOA VISTA,CURITIBA,1,COLISÃO,BICICLETA,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,,7191426.20562744,681529.06280518,-25.38326935,-49.19612379
13,201020005.0,2010,,,,0,,0,,N431E,R. MIGUEL SPODARYK,,,,,PILARZINHO,32,PILARZINHO,4,REGIONAL BOA VISTA,CURITIBA,1,COLISÃO,BICICLETA,AUTOMÓVEL,,,,,,,Comitê de Análise de Acidente de Trânsito - Vida no Trânsito,,LOCALIZAÇÃO APROXIMADA,7190757.36322022,670782.82641602,-25.39057753,-49.30281722
